ID_Factura,ID_Cliente,Fecha_Emisión,Días_Plazo,Fecha_Pago,Días_Mora,Monto
FAC000001,C01492,2024-10-02,30,2025-06-02,213.0,508000
FAC000002,C00050,2025-04-28,60,2025-06-09,0.0,1207000
FAC000003,C03484,2025-06-30,90,2025-07-15,0.0,195000
FAC000004,C01923,2025-08-16,45,2025-09-18,0.0,1126000
FAC000005,C03235,2025-07-14,30,2025-08-09,0.0,1340000
FAC000006,C04315,2025-06-26,45,,,1926000
FAC000007,C04077,2024-11-26,90,2025-08-03,160.0,410000
FAC000008,C03218,2025-04-26,15,,,1388000
FAC000009,C00463,2025-07-23,90,,,567000
FAC000010,C01030,2024-12-20,30,2025-01-04,0.0,303000
FAC000011,C02873,2025-09-15,90,,,1777000
FAC000012,C01644,2025-05-26,30,,,332000
FAC000013,C02044,2024-10-27,45,2024-12-07,0.0,637000
FAC000014,C01354,2025-07-17,90,2025-07-17,0.0,483000
FAC000015,C03025,2025-06-20,45,2025-09-16,43.0,421000
FAC000016,C02934,2024-10-16,15,2024-11-30,30.0,1468000
FAC000017,C03339,2025-05-09,45,2025-07-19,26.0,1525000
FAC000018,C01563,2024-12-23,45,2025-09-11,217.0,1872000
FAC000019,C02922,2025-05-09,90,2025-07-21,0.0,1669000
FAC000020,C01920,2024-10-16,60,2025-03-12,87.0,171000
FAC000021,C03318,2025-07-29,60,,,362000
FAC000022,C00320,2025-04-22,60,,,414000
FAC000023,C03496,2024-10-06,45,2025-09-04,288.0,850000
FAC000024,C03977,2024-11-28,15,,,137000
FAC000025,C01527,2025-03-14,45,,,759000
FAC000026,C00773,2025-04-02,45,2025-09-17,123.0,52000
FAC000027,C00856,2024-12-09,90,2025-07-08,121.0,963000
FAC000028,C04649,2025-05-26,30,2025-08-11,47.0,1376000
FAC000029,C03627,2025-06-07,45,2025-08-24,33.0,1634000
FAC000030,C04826,2024-11-20,30,2025-06-05,167.0,1418000
FAC000031,C00083,2025-07-02,45,2025-09-10,25.0,1323000
FAC000032,C00780,2025-06-26,15,2025-08-26,46.0,318000
