ID_Transacción,ID_Cliente,ID_Tienda,SKU,Cantidad,Precio_Unitario,Fecha,Total
TRX0000001,C04003,T010,P00159,4,135600,2024-08-11,542400
TRX0000002,C04884,T006,P00136,5,358200,2024-09-13,1791000
TRX0000003,C03076,T025,P00008,4,59000,2023-12-15,236000
TRX0000004,C00735,T025,P00241,1,136600,2024-06-11,136600
TRX0000005,C03799,T021,P00288,2,367600,2024-04-21,735200
TRX0000006,C03131,T009,P00006,4,14400,2024-07-29,57600
TRX0000007,C03647,T012,P00013,4,181900,2023-11-22,727600
TRX0000008,C00096,T004,P00277,5,202600,2024-09-11,1013000
TRX0000009,C00956,T003,P00299,4,231900,2025-02-18,927600
TRX0000010,C01000,T016,P00249,4,123300,2025-07-03,493200
TRX0000011,C04176,T008,P00135,5,89200,2025-01-20,446000
TRX0000012,C00189,T019,P00186,5,37000,2024-02-08,185000
TRX0000013,C04694,T019,P00132,5,50600,2025-05-14,253000
TRX0000014,C03929,T009,P00092,3,195200,2024-07-25,585600
TRX0000015,C00775,T019,P00007,2,328900,2024-02-22,657800
TRX0000016,C01484,T013,P00260,3,249600,2024-09-26,748800
TRX0000017,C03967,T021,P00048,3,344600,2025-07-23,1033800
TRX0000018,C03553,T010,P00295,1,28700,2025-04-23,28700
TRX0000019,C04682,T005,P00135,5,89200,2024-04-21,446000
TRX0000020,C00815,T011,P00133,3,279900,2025-03-28,839700
TRX0000021,C00521,T023,P00231,5,54900,2024-06-26,274500
TRX0000022,C04404,T006,P00047,3,207300,2024-05-25,621900
TRX0000023,C03321,T023,P00289,5,43600,2024-01-30,218000
TRX0000024,C00162,T013,P00212,5,40400,2024-02-09,202000
TRX0000025,C04556,T018,P00257,5,354400,2023-10-13,1772000
TRX0000026,C04343,T016,P00221,1,36300,2025-06-11,36300
TRX0000027,C00524,T017,P00094,2,330600,2023-12-10,661200
TRX0000028,C04791,T018,P00196,3,254900,2024-11-14,764700
TRX0000029,C01017,T025,P00038,2,156300,2024-01-01,312600
TRX0000030,C01700,T022,P00265,2,29700,2024-03-26,59400
TRX0000031,C00962,T006,P00189,1,273400,2024-10-12,273400
TRX0000032,C04908,T023,P00184,5,329900,2024-10-25,1649500
TRX0000033,C01475,T001,P00028,4,206800,2023-12-04,827200
TRX0000034,C04545,T015,P00081,3,86800,2025-04-15,260400
TRX0000035,C02575,T004,P00162,2,229900,2024-09-07,459800
TRX0000036,C00321,T005,P00173,4,141400,2024-05-26,565600
TRX0000037,C04712,T007,P00264,2,131600,2025-04-17,263200
TRX0000038,C01321,T003,P00042,5,88200,2025-08-27,441000
TRX0000039,C04608,T009,P00193,3,248500,2024-05-28,745500
TRX0000040,C00287,T003,P00193,3,248500,2025-02-02,745500
TRX0000041,C01022,T017,P00153,4,312400,2025-02-17,1249600
TRX0000042,C02446,T012,P00287,2,141300,2023-10-09,282600
TRX0000043,C04460,T006,P00290,1,187900,2025-08-27,187900
TRX0000044,C03466,T022,P00284,1,167100,2023-11-15,167100
TRX0000045,C00001,T008,P00010,1,173000,2024-09-05,173000
TRX0000046,C02463,T002,P00200,5,328400,2024-09-22,1642000
TRX0000047,C04256,T010,P00080,3,108200,2024-11-03,324600
TRX0000048,C04376,T015,P00255,3,307200,2024-11-22,921600
TRX0000049,C01146,T019,P00035,2,21300,2024-10-15,42600
TRX0000050,C04018,T023,P00057,4,259700,2024-03-07,1038800
TRX0000051,C02564,T017,P00033,3,123500,2025-02-03,370500
TRX0000052,C02885,T020,P00123,1,10300,2024-06-15,10300
TRX0000053,C04410,T017,P00291,3,141200,2023-11-04,423600
TRX0000054,C01720,T023,P00108,4,262200,2024-08-07,1048800
TRX0000055,C00812,T022,P00281,4,268800,2025-01-07,1075200
TRX0000056,C00367,T008,P00282,5,32000,2025-01-15,160000
TRX0000057,C00301,T007,P00016,4,231400,2025-07-09,925600
TRX0000058,C01161,T010,P00207,2,282800,2025-07-24,565600
TRX0000059,C01764,T005,P00167,3,15100,2024-05-18,45300
TRX0000060,C04933,T018,P00086,2,155700,2025-09-01,311400
TRX0000061,C01770,T019,P00077,1,59200,2024-12-31,59200
TRX0000062,C02942,T009,P00220,2,307600,2025-06-10,615200
TRX0000063,C01053,T024,P00229,3,12700,2024-02-09,38100
TRX0000064,C03458,T003,P00033,2,123500,2024-06-11,247000
TRX0000065,C04505,T009,P00205,2,166200,2025-09-27,332400
TRX0000066,C02136,T013,P00192,3,282500,2025-08-05,847500
TRX0000067,C01338,T013,P00250,2,188700,2025-05-17,377400
TRX0000068,C03737,T003,P00268,5,248400,2024-03-13,1242000
TRX0000069,C02083,T022,P00275,4,212500,2025-07-12,850000
TRX0000070,C03485,T023,P00050,5,15300,2024-06-20,76500
TRX0000071,C01174,T018,P00184,5,329900,2024-06-21,1649500
TRX0000072,C01670,T003,P00095,2,158900,2024-12-10,317800
